'Case','Image','Detector','Descriptor','Matcher','Selector','Detector Duration (ms)','Descriptor Duration (ms)','Matching Duration (ms)','Keypoints','Mean Size','StdDev Size','Matches'
0,1,SHITOMASI,BRISK,BF,KNN,9.06194,1.34599,0.218782,118,4,0,95
0,2,SHITOMASI,BRISK,BF,KNN,9.28249,1.50226,0.127252,123,4,0,88
0,3,SHITOMASI,BRISK,BF,KNN,10.029,1.38575,0.166299,120,4,0,80
0,4,SHITOMASI,BRISK,BF,KNN,9.56404,1.35444,0.175206,120,4,0,90
0,5,SHITOMASI,BRISK,BF,KNN,9.42296,1.29865,0.181579,113,4,0,82
0,6,SHITOMASI,BRISK,BF,KNN,9.75554,1.31124,0.185955,114,4,0,79
0,7,SHITOMASI,BRISK,BF,KNN,9.52871,1.38574,0.186545,123,4,0,85
0,8,SHITOMASI,BRISK,BF,KNN,9.4849,1.28434,0.185281,111,4,0,86
0,9,SHITOMASI,BRISK,BF,KNN,9.47329,1.29866,0.17971,112,4,0,82
1,1,SHITOMASI,BRIEF,BF,KNN,9.6597,0.700787,0.150078,118,4,0,115
1,2,SHITOMASI,BRIEF,BF,KNN,9.58527,0.708207,0.149532,123,4,0,111
1,3,SHITOMASI,BRIEF,BF,KNN,9.71896,0.706011,0.146709,120,4,0,104
1,4,SHITOMASI,BRIEF,BF,KNN,9.46471,0.706222,0.147183,120,4,0,101
1,5,SHITOMASI,BRIEF,BF,KNN,9.26826,0.684827,0.148496,113,4,0,102
1,6,SHITOMASI,BRIEF,BF,KNN,9.12463,0.735792,0.146197,114,4,0,102
1,7,SHITOMASI,BRIEF,BF,KNN,9.23209,0.730304,0.135279,123,4,0,100
1,8,SHITOMASI,BRIEF,BF,KNN,9.73172,0.699149,0.138814,111,4,0,109
1,9,SHITOMASI,BRIEF,BF,KNN,9.60869,0.698798,0.115957,112,4,0,100
2,1,SHITOMASI,ORB,BF,KNN,9.99418,2.61223,0.141623,118,4,0,104
2,2,SHITOMASI,ORB,BF,KNN,9.96653,2.61539,0.13339,123,4,0,103
2,3,SHITOMASI,ORB,BF,KNN,9.87856,2.6122,0.134,120,4,0,100
2,4,SHITOMASI,ORB,BF,KNN,9.8123,2.60758,0.136262,120,4,0,102
